"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",12,4,8,32.5,120,141,0.85,0.67,-0.53,"-4.4%",46.7,-13.3,-119,"33%","8%","25%","17%","17%","38%",,"40%","44%","50.0%","48.1%",3.96,1.45,1.95
"EDward Gaming",9,5,4,30.4,89,78,1.14,0.61,1.14,"7.7%",60.4,-4.9,1032,"100%","67%","78%","100%","67%","50%",,"57%","50%","50.0%","53.6%",4,1.41,1.91
"FunPlus Phoenix",8,6,2,37,111,83,1.34,0.66,0.27,"4.1%",52.7,18.7,-36,"38%","71%","71%","71%","86%","77%","0%","57%","67%","50.6%","51.5%",4.6,1.53,2.15
"Invictus Gaming",3,0,3,29.4,31,70,0.44,1.14,-1.6,"-15.3%",34.5,-34.5,-1416,"100%","33%","33%","33%","33%","36%",,"0%","0%","50.6%","41.6%",3.51,1.52,1.56
"LNG Esports",7,4,3,32.2,121,104,1.16,1,0.39,"7.6%",49.3,0.7,39,"29%","50%","50%","67%","50%","52%",,"83%","78%","50.1%","55.7%",3.92,1.28,1.95
"Royal Never Give Up",12,7,5,34.7,158,124,1.27,0.67,1.14,"2.1%",65.1,1.6,1354,"42%","67%","56%","22%","56%","43%","100%","50%","47%","49.2%","49.8%",4.39,1.56,2.07
"Suning",4,1,3,30.9,28,55,0.51,0.67,-2.59,"-17.2%",23.4,1.6,-2736,"0%","50%","0%","0%","25%","44%",,"25%","40%","50.0%","40.9%",3.65,1.38,1.47
"Top Esports",7,4,3,32,68,74,0.92,0.63,-0.64,"-2.0%",41.5,25.2,-806,"29%","67%","67%","83%","67%","56%",,"60%","40%","50.4%","50.3%",3.63,1.52,1.84
