Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,HLD%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
EDward Gaming,3,0,3,33.3,27,39,0.69,0.66,-2.04,-12.50%,26.5,-26.5,-1846,67%,67%,0%,33%,33%,15%,,0%,0%,49.70%,39.60%,2.99,1.25,1.18
FunPlus Phoenix,9,5,4,31.2,130,92,1.41,0.79,0.71,5.50%,53.7,1.9,557,67%,44%,56%,56%,44%,49%,100%,78%,69%,50.60%,53.00%,3.21,1.17,1.31
Invictus Gaming,7,6,1,32.8,134,101,1.33,1.02,1.07,7.80%,61.7,24,1361,57%,71%,71%,86%,43%,50%,0%,71%,70%,51.70%,53.60%,3.45,1.28,1.45
JD Gaming,17,9,8,32.1,255,262,0.97,0.94,0,-2.20%,51,2,-163,59%,65%,53%,41%,41%,47%,50%,41%,52%,50.00%,47.30%,3.5,1.25,1.37
Royal Never Give Up,5,2,3,33,74,86,0.86,0.97,-0.46,-1.90%,46.6,-6.6,-313,20%,20%,40%,40%,80%,60%,,60%,44%,48.40%,48.60%,3.62,1.42,1.37
SinoDragon Gaming,6,3,3,29.9,59,70,0.84,0.72,0.88,0.70%,61.3,-11.3,1138,33%,33%,67%,50%,50%,64%,,50%,63%,49.30%,56.00%,2.95,1.05,1.35
Team WE,4,1,3,32.5,50,67,0.75,0.9,-0.72,1.60%,43.1,-18.1,395,25%,50%,50%,75%,75%,56%,0%,25%,17%,50.40%,57.50%,3.19,1.05,1.57
Top Esports,11,5,6,30.9,133,148,0.9,0.83,-0.68,-2.80%,42.3,3.1,-1190,45%,36%,36%,36%,55%,53%,100%,45%,43%,49.60%,46.80%,3.19,1.26,1.61
