"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",8,4,4,33.7,96,97,0.99,0.72,0.17,"0.1%",53.8,-3.8,49,"38%","63%","63%","69%","75%","56%","50%","71%","50%","49.5%","46.7%",3.19,1.51,1.58
"eStar",4,1,3,34.2,43,60,0.72,0.75,-0.57,"-3.1%",43.4,-18.4,32,"25%","75%","75%","38%","0%","38%",,"33%","25%","50.2%","50.2%",3.73,1.64,1.79
"FunPlus Phoenix",10,6,4,33.1,140,114,1.23,0.76,0.38,"3.6%",54.5,5.5,609,"60%","70%","50%","44%","50%","51%","0%","60%","56%","50.3%","50.5%",3.5,1.43,1.29
"Invictus Gaming",7,1,6,31.3,75,125,0.6,0.91,-1.61,"-12.2%",23.2,-9,-2755,"43%","14%","29%","50%","57%","34%",,"14%","17%","49.3%","47.3%",2.98,0.99,1.47
"JD Gaming",8,6,2,34.6,103,72,1.43,0.63,0.43,"5.9%",45.1,29.9,27,"50%","38%","63%","25%","38%","49%","100%","63%","67%","50.1%","52.7%",3.47,1.45,1.7
"Royal Never Give Up",4,1,3,36.4,46,62,0.74,0.74,-0.98,"-3.6%",47.8,-22.8,-165,"50%","25%","25%","38%","25%","45%","50%","0%","25%","50.4%","52.0%",3.21,1.2,1.49
"Team WE",8,4,4,33.8,101,112,0.9,0.79,0.03,"-2.7%",55.4,-5.4,235,"75%","63%","38%","63%","75%","52%",,"67%","60%","48.4%","48.8%",3.11,1.36,1.62
"Top Esports",13,8,5,32.5,177,140,1.26,0.75,0.65,"3.9%",61,0.5,866,"46%","46%","54%","58%","46%","58%",,"50%","60%","51.2%","51.5%",3.36,1.34,1.4
